NUMERO_PLACA,MARCA,COLOR,ANIO DE MATRICULA,MODELO,CLASE,FECHA DE MATRICULA,ANIO,SERVICIO,FECHA DE CADUCIDAD
HBC2899,CHEVROLET,VINO,2020,D-MAX CRDI 3.0 CD 4X4 TM DIESEL,CAMIONETA,26-10-2020,2016,USO PARTICULAR,25-10-2025,
HBC3787,CHEVROLET,NEGRO,2016,D-MAX CRDI FULL AC 3.0 CD 4X4 TM DIESEL,CAMIONETA,27-10-2016,2017,USO PARTICULAR,26-10-2021,
HBC3887,CHEVROLET,ROJO,2019,SPARK LIFE 1.0 5P 4X2 TM,VEH. UTILITARIO,16-08-2019,2017,USO PARTICULAR,14-08-2024,
HBC3987,GREAT WALL,VINO,2016,M4 CONFORT AC 1.5 5P 4X2 TM,SIN VALOR,20-12-2016,2017,USO PARTICULAR,19-12-2021,
HBC4152,HYUNDAI,PLATEADO,2017,ACCENT 1.6 4P 4X2 TM,AUTOMOVIL,25-01-2017,2017,USO PARTICULAR,24-01-2022,
HBC4275,TOYOTA,ROJO,2017,NEW HILUX 2.7 CD 4X2 TM,CAMIONETA,22-02-2017,2017,USO PARTICULAR,21-02-2022,
HBC4708,TOYOTA,AZUL,2017,NEW HILUX 2.7 CD 4X2 TM,CAMIONETA,07-06-2017,2017,USO PARTICULAR,06-06-2022,
HBC4861,SUZUKI,PLOMO,2017,GRAND VITARA SZ NEXT SPORT AC 2.4 5P 4X2 TA,SIN VALOR,03-07-2017,2018,USO PARTICULAR,02-07-2022,
HBC5994,RENAULT,BLANCO,2017,DUSTER EXPRESSION AC 1.6 5P 4X2 TM,SIN VALOR,13-12-2017,2018,USO PARTICULAR,12-12-2022,
HBC6054,RENAULT,CREMA,2017,LOGAN EXPRESSION AC 1.6 4P 4X2 TM,AUTOMOVIL,18-12-2017,2018,USO PARTICULAR,17-12-2022,
HBC6089,HINO,BLANCO,2017,XZU640L-HKMLJ3 AC 4.0 2P 4X2 TM DIESEL CN,CAMION,20-12-2017,2018,USO PARTICULAR,19-12-2022,
HBC6101,CHEVROLET,PLOMO,2017,D-MAX CRDI 3.0 CD 4X2 TM DIESEL,CAMIONETA,21-12-2017,2018,USO PARTICULAR,20-12-2022,
HBC6722,VOLKSWAGEN,PLATEADO,2018,POLO NB TRENDLINE 6042G4 AC 1.6 4P 4X2 TM,AUTOMOVIL,14-03-2018,2018,USO PARTICULAR,13-03-2023,
HBC7153,CHEVROLET,BLANCO,2018,AVEO FAMILY STD 1.5 4P 4X2 TM,AUTOMOVIL,02-05-2018,2019,USO PARTICULAR,01-05-2023,
HBC7274,KIA,ROJO,2018,PICANTO LX AC 1.2 4P 4X2 TM,AUTOMOVIL,14-05-2018,2018,USO PARTICULAR,13-05-2023,
HBC7285,KIA,BLANCO,2019,PICANTO LX 1.2 4P 4X2 TM,AUTOMOVIL,12-04-2019,2019,USO PARTICULAR,10-04-2024,
HBC7357,HYUNDAI,PLOMO,2018,ACCENT 1.6 4P 4X2 TM,AUTOMOVIL,23-05-2018,2018,USO PARTICULAR,22-05-2023,
HBC7375,NISSAN,PLATEADO,2018,X-TRAIL SENSE 2 ROW AC 2.5 5P 4X2 TA,SIN VALOR,24-05-2018,2019,USO PARTICULAR,23-05-2023,
HBC7445,KIA,ROJO,2018,PICANTO LX AC 1.2 4P 4X2 TM,AUTOMOVIL,04-06-2018,2019,USO PARTICULAR,03-06-2023,
HBC7477,CHEVROLET,BLANCO,2018,D-MAX CRDI 3.0 CD 4X2 TM DIESEL,CAMIONETA,07-06-2018,2018,USO PARTICULAR,06-06-2023,
HBC7563,RENAULT,ROJO,2018,LOGAN EXPRESSION AC 1.6 4P 4X2 TM,AUTOMOVIL,18-06-2018,2019,USO PARTICULAR,17-06-2023,
